,States
0,Indiana
1,Maine
2,Connecticut
3,Idaho
4,Michigan
5,Minnesota
6,Arkansas
7,Utah
8,Texas
9,New Hampshire
10,Wisconsin
11,Virginia
12,West Virginia
13,Kansas
14,Illinois
15,Ohio
16,Oregon
17,Georgia
18,Alabama
19,Rhode Island
20,Washington
21,Pennsylvania
22,Vermont
23,New Mexico
24,Mississippi
25,North Dakota
26,South Dakota
27,Delaware
28,New York
29,Iowa
30,Colorado
31,Nevada
32,New Jersey
33,North Carolina
34,Nebraska
35,Hawaii
36,Florida
37,Alaska
38,California
39,Arizona
40,Oklahoma
41,Tennessee
42,South Carolina
43,Kentucky
44,Massachusetts
45,Montana
46,Louisiana
47,Missouri
48,Wyoming
